ORIG_AMT,ORIG_TRM,NUM_BO,DTI,PROP_TYP,reperformance_flag,Loan.Age,FicoBkt,LAST_VAL,MLTV,Default_bin
206,360,2,20,SF,0,30,700,297.6936264,70,0
75,360,2,35,SF,0,4,780,129.1109047,60,0
176,360,1,40,SF,0,18,780,223.1001496,80,0
192,360,1,30,CO,0,13,780,216.7397061,90,0
250,360,2,50,SF,0,13,660,595.1016614,45,0
280,360,1,30,SF,1,37,700,483.0235245,60,0
124,360,1,20,SF,0,54,700,318.4282618,40,0
222,360,2,45,SF,0,17,780,304.5502614,75,0
107,360,2,40,SF,0,13,660,142.1169341,75,0
77,240,1,20,SF,0,30,740,110.3717514,70,0
199,360,1,40,SF,0,30,780,267.2309076,75,0
121,360,2,35,SF,0,47,780,155.8501705,75,0
128,360,2,25,SF,0,6,660,179.1135474,75,0
55,360,1,40,SF,1,223,620,90.920796,40,1
212,360,2,45,SF,0,6,780,278.7347343,80,0
117,360,2,35,SF,0,13,780,341.4504395,35,0
98,360,2,35,SF,0,10,780,180.8140249,55,0
125,360,2,55,SF,1,12,620,244.1811359,55,0
124,360,1,40,SF,0,4,780,163.0806667,80,0
86,180,2,55,SF,0,8,780,193.1139977,45,0
31,240,1,35,SF,0,50,700,51.55342933,55,0
188,360,2,35,SF,0,10,740,247.4522888,80,0
234,360,1,45,SF,0,13,740,307.749,80,0
230,346,2,40,SF,0,16,660,307.2655749,75,0
178,360,2,40,SF,0,32,660,318.8465112,55,0
112,180,2,25,SF,0,18,780,193.1175921,55,0
47,360,1,60,SF,1,13,780,52.75547036,90,0
100,180,2,25,SF,0,12,840,141.905679,5,0
55,360,2,45,SF,0,13,780,200.1386196,30,0
37,360,1,30,SF,1,136,740,47.52278319,70,0
108,360,1,20,SF,0,19,840,148.5272409,75,0
93,360,1,45,SF,0,60,840,205.4038002,45,0
77,180,1,40,SF,1,68,700,113.7411238,55,0
132,360,1,50,SF,0,10,700,163.3901176,85,0
200,360,1,35,SF,0,21,780,236.0263375,85,0
153,180,2,35,SF,0,25,740,210.8497624,25,0
54,360,1,30,SF,0,20,700,99.74405444,55,0
240,360,1,40,CO,0,61,700,496.9446779,50,0
221,360,2,35,SF,0,29,780,548.6636349,40,0
134,240,2,40,SF,0,38,660,233.9738051,55,0
65,180,1,35,SF,0,4,780,162.9625002,40,0
138,360,2,40,SF,0,5,780,185.0969219,75,0
110,360,1,40,SF,0,42,780,145.5851052,70,0
105,360,2,30,SF,0,43,780,219.8879086,50,0
230,180,1,65,SF,1,41,780,312.2706146,65,0
28,360,1,25,SF,0,41,700,101.4314126,30,0
130,360,1,35,SF,0,13,840,146.8350868,90,0
166,360,1,45,SF,0,16,740,204.4137412,85,0
253,360,2,40,SF,0,15,780,482.0872026,55,0
118,360,1,35,SF,0,11,840,161.5105909,75,0
63,180,2,55,SF,0,34,700,82.9320852,70,0
74,360,2,20,SF,0,29,780,104.7324905,70,0
73,360,2,20,SF,0,61,740,154.6076695,45,0
146,120,2,55,SF,0,11,620,200.012891,70,0
81,360,2,50,CO,0,27,660,114.4589975,70,0
200,360,1,55,SF,0,6,700,273.7467643,75,0
171,360,2,45,SF,0,35,780,214.4796152,80,0
48,360,1,25,CO,1,19,620,72.61822181,70,0
162,360,2,30,SF,0,3,700,186.7241087,90,0
119,360,1,60,SF,1,16,660,179.1297721,70,0
139,360,2,35,SF,0,10,660,160.748615,90,0
95,360,2,50,SF,0,16,700,107.4849999,90,0
146,360,2,45,SF,0,9,840,162.7403683,90,0
55,360,1,50,CO,0,26,840,81.07412657,35,0
161,360,2,45,SF,0,20,660,210.5091625,80,0
104,360,2,15,SF,0,12,780,126.954142,85,0
100,360,2,20,SF,0,3,740,156.0575507,65,0
112,240,1,25,SF,0,12,840,147.256086,75,0
97,360,2,35,SF,0,32,840,192.7859443,50,0
152,360,1,45,SF,0,16,660,247.4205045,65,0
100,360,1,25,SF,0,17,740,364.9193218,30,0
87,360,1,35,SF,0,13,620,96.35326316,90,0
32,120,2,40,SF,0,119,660,63.15048426,5,0
200,360,2,60,CO,1,19,660,522.6087712,40,0
54,180,2,55,SF,0,35,700,94.09311567,55,0
214,360,2,50,SF,0,3,740,237.0068772,95,0
142,360,2,25,SF,0,3,740,186.9054522,80,0
148,180,1,40,SF,0,22,660,297.0443279,50,0
160,360,2,30,SF,0,13,780,210.8255533,75,0
105,360,2,40,SF,1,202,660,269.9204261,30,1
246,360,2,35,SF,0,9,660,344.4334641,75,0
249,360,2,45,SF,0,13,840,371.0880319,70,0
88,360,1,55,SF,0,6,780,115.7346667,80,0
185,360,2,20,SF,0,12,700,394.8572328,50,0
149,360,2,30,SF,0,23,740,172.1308258,85,0
